Review,Liked
"It’s pretty amazing, not gonna lie!",1
Excited!,1
... reach out to you to make sure you are pleased with your purchase or have any questions,1
Miracle worker!,1
Great Vitamin C serum! Very surprised how quickly it worked.,1
Making a big difference in my skin,1
I love it!,1
I was already pleased with the way my skin felt to the touch ...,1
Great Stuff in a bottle!!!!!!!!!!!!!!!!!!!,1
You need this!! 💯,1
Seriously helped with my texture issue,1
Acne Redness Savior!,1
Surprisingly Impressed,1
Sensitive :(,1
10-Oct,1
Will add photos,1
Amazing product!,1
I use this product daily,1
Shocked,1
It’s does work,1
Best Buy!,1
rejuvenated my skin!!!,1
Don't hesitate this is one of the best products I've ever used,1
The holy grail of serums,1
"Great, unexpected results",1
My skin definitely got better but,1
Skin changing,1
Be patient. This works.,1
"Love, love, love this serum! GREAT customer service!",1
Just WOW!,1
A noticeable improvement!,1
Great complexion,1
Superb customer service!!!,1
"Great product,  good for sensitive skin.",1
I LOVE this serum!!,1
Soaks in,1
Miracle in a bottle!,1
Great for the price!!,1
My skin looks better after 2 weeks,1
Really does give you that glowing skin!,1
Beware if you have sensitive skin,1
Just as good as the expensive brands.,1
Great choice,1
I like it!,1
I love and love and love it,1
Glad I tried it,1
AMAZING,1
Love this product!,1
Seriously amazing stuff,1
Not what I expected :(,0
My face stopped breaking out!,1
Miracle Product,1
Love!,1
Makes skin smooth and hydrated,1
"Finally, something that really works!",1
Saw this on Buzzfeed & gave it a try,1
Only day 3,1
Best EVER,1
Worth the hype!,1
I LOVE this serum,1
Skin Brightening & tigthening,1
Pleasantly surprised!,1
This stuff is Amazingly good,1
Brightens!,1
Seriously works to clear skin,1
Great Buy!,1
"Amazing product, just not for cold weather.",1
Definitely tightens the skin,1
Great moisturizer but doesn't work miracles,1
It’s my time of then month and though I don’t norally experience bad break outs,1
Customer service,1
Recommend that you try this!,1
If you’ve tried everything and nothing has worked.  TRY THIS SERUM!,1
What a difference!!,1
Absolutely Amazing!,1
A small amount goes along way!,1
30 and Flirty,1
Used every day on my oily skin,1
Quality product,1
Removes white cast from sunblock,1
Seems to be a cure-all for scaly skin,1
Acne prone adult skin with fine lines,1
Made My Skin Worse !,1
If you are considering buying this you should,1
The results are obvious when you use it daily for just a short while.,1
Love love this,1
Not for people with oily skin,1
I absolutely love all of them and use them daily,1
This really works!,1
Great product,1
Best serum for face,1
Pleasantly surprised in a good way,1
Miracle in a bottle!!!!!!,1
Wonderful formula,1
Great serum,1
Chin acne gone (yeast),1
Seen improvement within a day's time!,1
Great so far!,1
Good for sensitive skin,1
Really Great Vitamin “C” Serum,1
Love this stuff,1
I will always purchase this item!,1
A face Lift In A Little Bottle...who knew?,1
Updated review!!,1
Update/Bonus Benefit,1
Excellent customer service from the seller!!!,1
This left me speechless... I love it.,1
Dark spot remover,1
amazing,1
"Value meets great results for aging skin with sun spots, fine lines and loss of collage.",1
Holy grail must have!!,1
Skin Smoothing!,1
Did not work for me.,1
"Good for Dry, Sensitive or Combination skin",1
Such a remarkable and refreshing product!  It's liquid sunshine!!,1
This serum works on sensitive skin.,1
BEST CUSTOMER SERVICE AROUND!,1
Great Skincare Brand,1
Only Good Things to Come,1
GET IT,1
Feels like I have brand new skin,1
Quality product,1
Great Product!,1
The best serum.,1
Great for brightening dull skin with large pores,1
Great stuff! Really helps with my stress acne,1
Really liking this!,1
"I haven’t noticed any lightening effect which is fine, I’m not looking for that",1
It feels good when you make the right choice and from my ...,1
Highly recommend!,1
Not for all skin types,1
Top notch customer service!!,1
Excellent Customer Service,1
Love this so much!!,1
No More Redness,1
Great product!,1
Crepe neck for sale,1
Definitely recommend! Stay Consistent!,1
Changing my skin!,1
TruSkin Vitamin C Serum,1
Easy and Effective,1
So far so good,1
This is a miracle serum!!!,1
This product is amazing,1
Satisfied!,1
Excellent Customer Service,1
My skin looks better.,1
Impressed!,1
The Real Deal Vitamin C Serum,1
Give this serum a try!,1
"Amazing vitamin c, this product has done miracles to my skin",1
Has changed my hands,1
It really works!,1
Absolutely love!,1
"Cruelty-free Vitamin C serum, improves skin tone and texture in no time!",1
It works!,1
"Excellent company, that is interested in quality and service",1
Good product,1
My skin feels amazing!,1
Unscented,1
Affordable skin care product,1
Great Product!,1
AMAZING for oily skin!,1
"GREAT PRODUCT, will buy again.",1
Very effective,1
Slight improvement,1
You really can get great skin for $20,1
Buy it!,1
Worth giving it a try,1
Was surprised how well it works for me,1
I really like this Vitamin C serum,1
Love this serum!,1
My skin felt soft to the touch after I applied it!,1
My HG!,1
Love it!,1
Good for correcting red complexion,1
Works very quickly and effectively for the skin,1
Amazing! Have been using for years.,1
Starting out I used this twice a day like it said since I was already using a vit ...,1
Awesome results,1
Great customer service,1
Excellent skin care product with wearing a mask,1
Just wow,1
Love it,1
Amazing product!,1
Best for skeptics,1
Doesn’t recommend for oily Sensitive skin,1
"Sincere, prompt and expert proven service...Vitamin C serum is a must...Love Love IT and the price",1
The only thing that’s worked for my dark marks/scars,1
I will definitely be reordering,1
Oh Did I Blow This One!,1
Skin Redness Decreasing and Skin is Softer/More Supple,1
Great customer service,1
Okuurrttttt!!!!,1
An inexpensive serum that works!!!,1
Amazing Product....,1
"VIt ""C"" away those wrinkles!",1
Great product at a good price point,1
"I absolutely love, love",1
Definitely recommend,1
The serum feels good on the skin but I am not sure that ...,1
People compliment my skin regularly,1
Staple,1
Seems effective and doesn't irritate my skin.,1
So far so good excellent product  for the price!,1
Evened out my skin tone,1
Outstanding Results!,1
Staple to good skin care routine,1
"Cleared up acne, dry patches and more!",1
Exactly What I Needed!,1
Feel the glow,1
Topper came broken :( *Edit*,1
On my second bottle,1
At first I was disappointed (I wanted to see overnight results,1
Best skin I’ve had in years!,1
It helps,1
I'm converted! Cleared red patchy skin in under 2 weeks.,1
"If you struggle with acne and have tried EVERYTHING (proactive, Murad, Neutrogena, Clinique, Rodan &Fields)",1
"Definitely worth trying, I personally love it.",1
I LOVE the products,1
This product is amazing! My skin has never looked so good.,1
JUST DO IT!!!,1
it Works but slowly,1
Amazing product,1
Brighter Skin,1
Happy I read the reviews and tried them myself.,1
Dried out my skin,1
Worth a try,1
Bomb.com!,1
... this product for 2 weeks now and I really love the way it brightens and softens my skin,1
"I’m Loving this, It Really works",1
Best face serum,1
Lovely. What more can I say?,1
Life Changing Product,1
Threw my $75 serum away,1
I have noticed the change. Combination skin.,1
Good Product.,1
"This product makes your skin brighter, glowing and more even",1
This erum works!,1
I reordered!,1
Excellent customer service,1
Fluffs Up My Face,1
Love this Product,1
Amazing,1
Vitamin C serum for face,1
Wonderful product! Must have after 40!,1
I love this product,1
Stumbled on a blessing!,1
Great Product! Good Price!,1
Love the way it dries.,1
Great purchase,1
Life Changing Vitamin C Serum,1
Excellent product!,1
Great Product!,1
Great Product And AMAZING Customer Service,1
Daily ritual for my skin care.,1
My favorite TruSkin product so far,1
Truly amazing product; well-worth the money!,1
Scent Free,1
Face is happy 😊,1
Great results,1
Fantastic product and stellar customer service,1
Cancelled my IPL appointment because I no longer need it.,1
Skintastic,1
Worth it!,1
Positive results in a week! ALL CLEAR IN A MONTH!,1
Great Vitamin C Serum,1
Wonderful quality but maybe not the best fit for sensitive skin!,1
"Go ahead and buy it, you are gonna love it!",1
A Miracle!,1
Great for moisture! (And possibly dark spots)),1
Useful,1
Perfect for my daytime skin care routine,1
My skin looks wonderful!,1
Made my skin feel like silk...,0
"Skeptics, buy now",1
MUST HAVE - my favorite face product,1
All in one!!,1
"LOVE this product. Worth the time to write my first, ever review",1
Helped my Rosacea,1
Slowly fading my acne scars,1
The best vitamin C serum available on the market,1
Wonderful product!,1
BUY IT NOW,1
My skin is looking better,1
Amazing product!!,1
Just try it. I love it,1
Amazing!!!,1
Even skin tone and fresh look,1
I wish I could give this product more stars!! Quality Product and Exceptional Customer Service!,1
Effective,1
2 weeks and already see a difference!,1
A great Vitamin C serum!,1
Worked on my rosacea,1
Everything I wanted and more,1
Great product,1
Better than I expected,1
No longer a sceptic...,1
"Great Product, Fantastic Customer Service",1
Love it!,1
Can't find anything better,1
Super impressed,1
Favorite Vit-C Serum,1
Awesome Customer Service,1
Started burning my skin which resulted in flaky and peeling cheeks :(,1
love this serum,1
Looking good after using this product!,1
Great for sensitive skin!,1
Yes it works,1
"Good quality, great price",1
Love This!!!,1
Effective on melasma spots,1
I can’t get over how soft my skin is!!,1
I Put It on Everything!,1
great!,1
It works fast,1
LOVE THIS,1
Silky smooth after first use.,1
Great for dryness,1
This is a wonderful product with real results.,1
quality product!!!,1
Best vitamin c serum I have tried!,1
Love it!,1
YOU SHOULD DEFINITELY BUY THIS. WORTH THE MONEY,1
Makes skin brighter and texture better!,1
Your skin is worth trying this product,1
"Redness, blotchy skin:(",1
Good product.,1
Updated review! Seller replaced the item!,1
feels nice,1
looking for miracle skin care product.,1
Glow,1
Unreal Results,1
Best purchase ever!!!,1
Works great.,1
It feels so good on the skin and unlike other products,1
Less oily skin,1
Good stuff.,1
Great product,1
Brown sunspots lightened,1
Quit reading reviews and buy this!!!!,1
Visible difference!,1
Good buy!,1
Absolutely worth it!,1
Not good for dry skin,1
Just try it!!!!!,1
This Really Works,1
TLC for your skin,1
Great product! Great price! Amazing company!,1
In LOVE with this product!  Customer for LIFE!,1
"Great for sensitive, acne-prone skin",1
Love this stuff!,1
Amazing,1
"Great Serum, Great Service",1
Good for neck skin tightening,1
Gold in a bottle,1
Happy I tried this product!!,1
Works great for my skin,1
Quality and great customer service!,1
Didn’t dry out my skin,1
Nice serum for brightening,1
Good Product,1
I can't begin to say how much I am happy with the customer service of this company,1
Keeping skin looking fresh.,1
Love this product!,1
Holy Grail!!,1
Wonderful Product,1
It’s like magic!,1
Been using for a while now,1
WAKE UP YOUR FACE,1
I've felt like I lost the lottery in the skin department of ...,1
Trying a new super serum,1
I am in constant search of a product that works or I like. So after reading some of the reviews for ...,1
Impressive serum,1
Exceeded expectations x100!!!,1
Works for me!,1
Dry patches on face - Updated Review!,1
Good,1
Truly amazing product,1
My face looks so healthy and brighter,1
New skin in a Bottle,1
A serum that actually works,1
"This is it, I’ve found the 1 !",1
I saw results!,1
Seems to be working!,1
Still In Trial,1
"Does have a scent, not so inviting.",1
Can definitely go makeup free now when I want to,1
Fades scars and visibly clearer skin,1
this stuff works!,1
Awesome product - making my skin even and brighter!!,1
Great product,1
Nice to find a product that does what it says,1
"Fast results, will order more products in this line!!!",1
Works good.,1
Amazing product!,1
I love this serum,1
Customer Service the best I’ve ever seen!,1
It's pretty nice!,1
"I have combination, acne prone skin. My acne ...",1
Vitamin C Serum,1
Same results as much more expensive serums,1
Reduction of spots and luminous skin,1
It works!,1
Awesome serum,1
Magical Elixir of Beauty,1
This product works GREAT!,1
The ONLY thing that has worked for “maskne!!”,1
Must buy!,1
Inflammation,1
Picky girl approves !,1
Go get your beautiful skin on!,1
"Amazing product, stick with it and you WILL see results!",1
Nice initially but clumping after a few eeks,1
love this serum,1
Transformed my skin 🤩,1
"my SECOND  bottle of Vitamin C Serum,",1
In the package there is a card that has contact information to a very nice rep named Erica,1
Amazing!!!!!,1
Made my skin softer and more plump,1
This is a really great product and honestly,1
Refreshing and keeps my skin youthful,1
Can’t Live Without It!!,1
Very pleased with this product,1
A+ for Sensitive Skin!,1
"Smoother, brighter and tightness.",1
Best Vitamin C Serum on the market,1
MUST HAVE! If you’re suffering from dark spots on your face,1
Moisturizing serum,1
"So far, so good.",1
I NOW HAVE SOMETHING TO SMILE ABOUT!!,1
This WORKS!,1
EXCELLENT PRODUCT AND CUSTOMER SERVICE,1
Great product,1
I’m in love!,1
I love how hydrating it is from the hyaluronic acid,1
Great for my skin,1
Purchased based on reviews.,1
Fantastic Vitamin C serum at excellent price!,1
Truly Amazing,1
Best thing ever,1
TruSkin Vitamin C Serum for Face,1
Love this stuff,1
Good skin serum,1
Helps clear acne,1
"Fresher, brighter skin!!",1
"healing, soothing and smoothing",1
This is a must buy if you are looking for a high quality serum!,1
The Good Stuff,1
Exceptional product,1
Consistency is the key,1
You won't be disappointed with this product,1
my skin is GLOWING,1
I do like it and would purchase again,1
Super nice Vitamin C serum!,1
Affordable and Amazing!,1
Great product for your skin!,1
Color Correction Benefits,1
Impressed with results,1
Great Serum,1
Love this stuff!,1
I'm now using the Super C Serum as my evening product and love the ...,1
Lifetime Customer - QUALITY Product,1
so far so good..Ordered 2nd and 3rd bottle,1
This Vitamin C Serum is wonderful!,1
"Wasn't expecting much, but I was wrong! So good",1
Serum,1
"Hands down, a GREAT product",1
Feels great,1
"Skin tightening, just buy it! Best $20.00 ever spent.",1
Awesome product!!,1
Good Buy!,1
On my 2nd bottle,1
Sun spots be gone!,1
Great - especially for sensitive skin!,1
I probably wouldn't buy again.,1
Worth its 5 stars!,1
Amazing so far!,1
Nice results,1
Love this stuff!,1
My skin is NOT perfect and I haven’t even used this for a week ...,1
Very nice,1
Repeat purchase!,1
Miracle Elixir,1
I’m a True Believer in TruSkin!!!,1
"Buy it, you’ll be impressed",1
Smooth As Silk,1
AMAZING!,1
You won’t be disappointed if you make this purchase.,1
This stuff really works,1
A good addition to any skin care routine,1
Great vitamin C serum,1
I love this serum!!,1
It's great,1
Miracle in a bottle !!,1
BEST THING IVE EVER BOUGHT,1
I am genuinely amazed!,1
Very good product,1
Wow! Fixed my skin,1
It's Truly Miraculous,1
Seeing results,1
Skin brightening!,1
So Soft,1
This is what you’re looking for if you want “filtered” skin...,1
WOW,1
Great this Vitamin C Serum!,1
Just started using but so far love the results.....,1
Awesome!,1
I love it,1
Works and absorbs quickly,1
My whole family uses this!,1
No changes to formula,1
Amazing product!,1
Restores Moisture,1
LOVE IT. SO HAPPY I TRIED IT!,1
Sensitive acne prone skin? A+++,1
Red and white acnes... buy this NOWWWWW,1
Buy it NOW! You won’t regret it .,1
Nice,1
Love this serum!,1
Love this,1
love this!,1
Sensitive skin friendly,1
I liked the product a lot,1
Great serum,1
Great serum and customer care!!!,1
Just get it.,1
Nice for sensitive skin and allergies,1
Hoping it works,1
I LOVE this STUFF!,1
Amazing product! Helped with hormonal acne,1
Life Changer!!,1
Excellent,1
Magic in a bottle,1
Feels good on the skin.,1
Go For It!!,1
HELP WITH PORES AND PIMPLES,1
Nice product!,1
Love love this!,1
Botox in a bottle!,1
Definitely Noticed a Better Complexion!,1
Wonderful product! I ordered the Vitamin C Serum,1
